muni_co,muni,dep_co,dep,votval,abelardo,ivan,paloma,votant
54001,SAN JOSE DEL GUAVIARE,54,GUAVIARE,25271,12040,9150,1588,25927
17037,SAN JOSE DEL PALMAR,17,CHOCO,1380,408,816,55,1422
28190,SAN JUAN DE BETULIA (BETULIA),28,SUCRE,7491,2963,4229,117,7543
52058,SAN JUAN DE ARAMA,52,META,3570,1682,1376,304,3620
01231,SAN JUAN DE URABA,01,ANTIOQUIA,7660,3525,3097,665,7710
05079,SAN JUAN NEPOMUCENO,05,BOLIVAR,14433,7609,5954,320,14564
48013,SAN JUAN DEL CESAR,48,LA GUAJIRA,18711,10232,7360,529,18906
15232,SAN JUAN DE RIOSECO,15,CUNDINAMARCA,5277,3126,1390,483,5342
23121,SAN LORENZO,23,NARIÑO,7999,2213,4428,798,8275
52059,SAN JUANITO,52,META,728,522,112,42,737
01232,SAN LUIS,01,ANTIOQUIA,6796,4632,1045,609,6844
29109,SAN LUIS,29,TOLIMA,7240,4568,1553,773,7344
46830,SAN LUIS DE PALENQUE,46,CASANARE,4201,3127,533,315,4243
07241,SAN LUIS DE GACENO,07,BOYACA,2632,2132,298,108,2650
12875,SAN MARTIN,12,CESAR,12196,6540,4333,340,12423
13049,SAN CARLOS,13,CORDOBA,9399,4098,4560,405,9470
25079,SAN CAYETANO,25,NORTE DE SAN,4880,3824,623,140,4915
52060,SAN MARTIN DE LOS LLANOS,52,META,11565,6590,3202,768,11784
05082,SAN MARTIN DE LOBA,05,BOLIVAR,5396,2484,2589,174,5441
27190,SAN MIGUEL,27,SANTANDER,1305,838,225,205,1311
64018,SAN MIGUEL (LA DORADA),64,PUTUMAYO,7211,698,5752,192,7353
07247,SAN MATEO,07,BOYACA,2014,1600,219,107,2022
28200,SAN MARCOS,28,SUCRE,22019,8058,12422,717,22261
07248,SAN MIGUEL DE SEMA,07,BOYACA,1816,1105,389,207,1845
05084,SAN PABLO,05,BOLIVAR,9121,3802,4521,210,9262
23124,SAN PABLO,23,NARIÑO,7037,955,5664,150,7177
07249,SAN PABLO DE BORBUR,07,BOYACA,3446,2415,500,326,3485
01235,SAN PEDRO,01,ANTIOQUIA,14712,9059,2106,1740,14943
28240,SAN PEDRO,28,SUCRE,9196,3714,5009,217,9265
31094,SAN PEDRO,31,VALLE,8239,2897,4290,545,8368
01238,SAN RAFAEL,01,ANTIOQUIA,7438,4376,1230,1118,7555
01237,SAN PEDRO DE URABA,01,ANTIOQUIA,11431,6831,3017,960,11554
23123,SAN PEDRO DE CARTAGO,23,NARIÑO,3159,1382,1193,390,3222
01241,SAN ROQUE,01,ANTIOQUIA,8453,4664,1201,1987,8576
13055,SAN PELAYO,13,CORDOBA,20610,8642,11037,304,20706
28220,SAN ONOFRE,28,SUCRE,18226,3925,12645,970,18473
11073,SAN SEBASTIAN,11,CAUCA,3897,542,2970,266,3983
21070,SAN SEBASTIAN DE BUENAVISTA,21,MAGDALENA,8089,4425,3223,253,8129
01244,SAN VICENTE,01,ANTIOQUIA,11570,7424,1325,1719,11730
27193,SAN VICENTE DE CHUCURI,27,SANTANDER,14804,10055,2998,826,15031
44010,SAN VICENTE DEL CAGUAN,44,CAQUETA,23742,9241,11114,1017,24447
21073,SAN ZENON,21,MAGDALENA,4476,1888,1870,591,4496
23118,SANDONA,23,NARIÑO,10364,2596,6899,325,10528
21076,SANTA ANA,21,MAGDALENA,8654,5794,2457,165,8699
01247,SANTA BARBARA,01,ANTIOQUIA,11417,5987,2822,1450,11636
23125,SANTA BARBARA (ISCUANDE),23,NARIÑO,2952,204,2558,68,2983
27195,SANTA BARBARA,27,SANTANDER,1540,1065,187,236,1549
21078,SANTA BARBARA DE PINTO,21,MAGDALENA,4026,1484,2323,53,4053
05091,SANTA CATALINA,05,BOLIVAR,5595,1288,4011,105,5635
13052,SAN JOSE DE URE,13,CORDOBA,4165,740,3228,63,4191
09120,SAN JOSE,09,CALDAS,2642,1075,628,575,2686
27194,SANTA HELENA DEL OPON,27,SANTANDER,1895,1520,218,80,1904
07251,SANTA MARIA,07,BOYACA,1908,1072,625,67,1951
03047,SANTA LUCIA,03,ATLANTICO,5903,2613,1596,1458,5941
29112,SANTA ISABEL,29,TOLIMA,2562,1446,516,436,2603
19074,SANTA MARIA,19,HUILA,5171,3457,824,586,5222
09082,PALESTINA,09,CALDAS,7662,3180,2194,657,7871
05094,SANTA ROSA,05,BOLIVAR,7133,1575,5107,196,7199
11079,SANTA ROSA,11,CAUCA,2113,478,1471,101,2140
05095,SANTA ROSA DEL SUR,05,BOLIVAR,14429,10104,2799,440,14619
07253,SANTA ROSA DE VITERBO,07,BOYACA,6258,3449,1649,533,6325
24086,SANTA ROSA DE CABAL,24,RISARALDA,42184,20631,13099,3702,43151
01250,SANTA ROSA DE OSOS,01,ANTIOQUIA,17012,9396,2427,3052,17437
21001,SANTA MARTA,21,MAGDALENA,215262,79356,112812,10064,217221
23127,SANTACRUZ (GUACHAVES),23,NARIÑO,3907,446,3204,79,3959
